secs in Event,TrackName,Event,MidiChannel,Note,
0,main guitar,Program Change,0,c0,
2.531644,main guitar,Note On,0,e4,
0,main guitar,Note On,0,b3,
0,main guitar,Note On,0,e5,

0.632911,main guitar,Note Off,0,e4,
0,main guitar,Note Off,0,b3,
0,main guitar,Note Off,0,e5,

0.3164555,main guitar,Note On,0,d4,
0,main guitar,Note On,0,d5,
0,main guitar,Note On,0,a4,

0.15822775,main guitar,Note Off,0,d4,
0,main guitar,Note Off,0,d5,
0,main guitar,Note Off,0,a4,

0,main guitar,Note On,0,d5,
0,main guitar,Note On,0,a4,
0,main guitar,Note On,0,d4,

0.15822775,main guitar,Note Off,0,d5,
0,main guitar,Note Off,0,a4,
0,main guitar,Note Off,0,d4,

0,main guitar,Note On,0,a4,
0,main guitar,Note On,0,d4,
0,main guitar,Note On,0,d5,

0.632911,main guitar,Note Off,0,d5,
0,main guitar,Note Off,0,a4,
0,main guitar,Note Off,0,d4,

0.3164555,main guitar,Note On,0,a3,
0,main guitar,Note On,0,e4,
0,main guitar,Note On,0,a4,

0.15822775,main guitar,Note Off,0,a3,
0,main guitar,Note Off,0,e4,
0,main guitar,Note Off,0,a4,

0,main guitar,Note On,0,a3,
0,main guitar,Note On,0,e4,
0,Note On,0,a4,

0.15822775,Note Off,0,a3,
0,Note Off,0,e4,
0,Note Off,0,a4,

0,Note On,0,a3,
0,Note On,0,a4,
0,Note On,0,e4,

0.632911,Note Off,0,a3,
0,Note Off,0,a4,
0,Note Off,0,e4,

0.79113875,main guitar,Note On,0,g6,
0,main guitar,Note On,0,g5,
0.105485166666667,main guitar,Note Off,0,g6,
0,main guitar,Note Off,0,g5,
0.0527425833333333,main guitar,Note On,0,e6,
0,main guitar,Note On,0,e5,
0.15822775,main guitar,Note On,0,d6,
0,main guitar,Note On,0,d5,
0.0527425833333333,main guitar,Note Off,0,e6,
0,main guitar,Note Off,0,e5,
0.0527425833333333,main guitar,Note Off,0,d6,
0,main guitar,Note Off,0,d5,
0.0527425833333333,main guitar,Note On,0,b5,
0,main guitar,Note On,0,b4,
0.15822775,main guitar,Note On,0,b5,
0,main guitar,Note On,0,b4,
0.0527425833333333,main guitar,Note Off,0,b5,
0,main guitar,Note Off,0,b4,
0.105485166666667,main guitar,Note On,0,a5,
0,main guitar,Note On,0,a4,
0.01977846875,main guitar,Note Off,0,b5,
0.0131856458333333,main guitar,Note Off,0,b4,
0.0725210520833333,main guitar,Note Off,0,a5,
0,main guitar,Note Off,0,a4,
0.0527425833333333,main guitar,Note On,0,g5,
0,main guitar,Note On,0,g4,
0.105485166666667,main guitar,Note Off,0,g5,
0,main guitar,Note Off,0,g4,
0.0527425833333333,main guitar,Note On,0,e4,
0,main guitar,Note On,0,b3,
0,main guitar,Note On,0,e5,
0,main guitar,Note On,0,b4,
0,main guitar,Note On,0,g#4,
0,main guitar,Note On,0,e3,
0.632911,main guitar,Note Off,0,e4,
0,main guitar,Note Off,0,b3,
0,main guitar,Note Off,0,e5,
0,main guitar,Note Off,0,b4,
0,main guitar,Note Off,0,g#4,
0,main guitar,Note Off,0,e3,
0.3164555,main guitar,Note On,0,d4,
0,main guitar,Note On,0,d5,
0,main guitar,Note On,0,a4,
0,main guitar,Note On,0,f#5,
0.15822775,main guitar,Note Off,0,d4,
0,main guitar,Note Off,0,d5,
0,main guitar,Note Off,0,a4,
0,main guitar,Note Off,0,f#5,
0,main guitar,Note On,0,f#5,
0,main guitar,Note On,0,d5,
0,main guitar,Note On,0,a4,
0,main guitar,Note On,0,d4,
0.15822775,main guitar,Note Off,0,f#5,
0,main guitar,Note Off,0,d5,
0,main guitar,Note Off,0,a4,
0,main guitar,Note Off,0,d4,
0,main guitar,Note On,0,d5,
0,main guitar,Note On,0,f#5,
0,main guitar,Note On,0,a4,
0,main guitar,Note On,0,d4,
0.632911,main guitar,Note Off,0,d5,
